id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1371826599339954188,1371826599339954188,2021-03-16 14:12:03 UTC,2021-03-16,14:12:03,+0000,870607772,_urbanaki_,Urbanaki,,Ονομαστική: #ΛΙΓΝΑΔΗΣ  Γενική: λιγ(Ν)α(Δ)η Αιτιατική: λι(Γ)ν(Α)(Δ)(Α) Κλητική: λιγν(ΑΔΗ)   Υ.Γ Όποιος κάνει τον #μπαμπινιωτης να πάει το παιδί του να το διδάξει #ΓΑΔΑ #ποναω #antireport #μμε_ξεφτιλες #αστυνομικη_βια #BoycottGreekMedia #αστυνομοκρατια #Νεα_Σμυρνη #τροχαιο_βουλη,el,[],[],[],0,1,2,"['λιγναδης', 'μπαμπινιωτης', 'γαδα', 'ποναω', 'antireport', 'μμε_ξεφτιλες', 'αστυνομικη_βια', 'boycottgreekmedia', 'αστυνομοκρατια', 'νεα_σμυρνη', 'τροχαιο_βουλη']",[],https://twitter.com/_urbanaki_/status/1371826599339954188,False,,0,,,,,,,,[],,,,
1371825025075048451,1371825025075048451,2021-03-16 14:05:47 UTC,2021-03-16,14:05:47,+0000,1205463582902759424,opoligrafos,Ο Πολύγραφος,,"«Ύφασμα που ανέμιζε» η εικόνα αστυνομικού που φαίνεται να προβάλει όπλο στη Νέα Σμύρνη κατέληξε η ΕΛ.ΑΣ., μετά από… μόλις δύο μέρες έρευνας!  #Νεα_Σμυρνη #ΝεαΣμυρνη #αστυνομικη_βια #Αστυνομια #Χρυσοχοιδης #κυβερνηση_Μητσοτακη #κυβερνηση_τσιρκο    https://t.co/C5INr0RVsx",el,[],['https://www.opoligrafos.gr/greece/elas-ufasma-i-eikona-astunomikou-me-oplo-sti-nea-smurni/'],[],1,13,18,"['νεα_σμυρνη', 'νεασμυρνη', 'αστυνομικη_βια', 'αστυνομια', 'χρυσοχοιδης', 'κυβερνηση_μητσοτακη', 'κυβερνηση_τσιρκο']",[],https://twitter.com/oPoligrafos/status/1371825025075048451,False,,0,,,,,,,,[],,,,
1371824981131296777,1371824981131296777,2021-03-16 14:05:37 UTC,2021-03-16,14:05:37,+0000,1324372140196593665,gr_meandros,meander🇬🇷☘🇨🇾🇪🇺🇨🇵🇮🇱🇺🇲🇺🇦,,"😂😂😂😂😂😂😂😂!!!  υπεροχο το σεναριο 😉! σας πηρε πολυ ν το στησετε 😂😂😂😂😂???συγχαρητηρια στο σκηνοθετη 😉!!!  βαλτε κ δράκους ν γινει θριλερ 😂😂😂😂!!! το βιασμο του κουταβιου μην ξεχασετε😂😂😂😂!  μετα, γυριστε το κ ταινια...θ σπασει ταμεια😂!  #Νέα_Σμύρνη #ΔΙ_ΑΣ #ΓΑΔΑ",el,[],[],[],1,1,3,"['νέα_σμύρνη', 'δι_ας', 'γαδα']",[],https://twitter.com/GR_meandros/status/1371824981131296777,False,https://twitter.com/EFSYNTAKTON/status/1371781894413635586,0,,,,,,,,[],,,,
1371823489678708737,1371823489678708737,2021-03-16 13:59:41 UTC,2021-03-16,13:59:41,+0000,140766042,satanikokoutavi,Το Κουτάβι,,Και #τροχαιο_βουλη και #ειδικη_αδεια και #λιγναδης και #Δειρε_με_ρε και #kolosogo και #Νεα_Σμυρνη και #κυμπουρόπουλος και #AstraZeneca και #ΓΑΔΑ... Ντίλι ντίλι το καντήλι...,el,[],[],[],1,4,8,"['τροχαιο_βουλη', 'ειδικη_αδεια', 'λιγναδης', 'δειρε_με_ρε', 'kolosogo', 'νεα_σμυρνη', 'κυμπουρόπουλος', 'astrazeneca', 'γαδα']",[],https://twitter.com/SatanikoKoutavi/status/1371823489678708737,False,,0,,,,,,,,[],,,,
1371823476814839818,1371807053740699648,2021-03-16 13:59:38 UTC,2021-03-16,13:59:38,+0000,1281294365181333505,sousourogiannis,Evangelos Sousourogiannis,,"@grigoris_d @MeaCulpagr Πολύ casa de papel παρακολουθούν τα τρολακια της Κουμουνδούρου και μάχονται να ηρωοποιήσουν τους μπαχαλακηδες που προκάλεσαν τα επεισόδια στη #ΝεαΣμυρνη, εκδίδοντας πάλι ψεύδη στοιχεία. Κύριε Γενικέ @grigoris_d αγνοήστε τους και συνεχιστε με σθένος το έργο σας. Είμαστε μαζί σας!",el,"[{'screen_name': 'grigoris_d', 'name': 'gdimitriadis', 'id': '724859460020264961'}]",[],[],1,3,13,['νεασμυρνη'],[],https://twitter.com/sousourogiannis/status/1371823476814839818,False,,0,,,,,,,,"[{'screen_name': 'grigoris_d', 'name': 'GDimitriadis', 'id': '724859460020264961'}, {'screen_name': 'MeaCulpagr', 'name': 'MeaCulpa.gr', 'id': '929277536265232384'}]",,,,
1371822939029565444,1371822939029565444,2021-03-16 13:57:30 UTC,2021-03-16,13:57:30,+0000,563429665,petechatziplis,Pete Chatziplis,,"Ευτυχώς που αποδείχτηκε ότι ο φρουρός της ομάδας ΔΡΑΣΗ στην #ΝεαΣμυρνη κρατούσε τα γάντια του. Φαντάσου να είχε βγάλει το Μαγκνουμ δηλαδή, που λέει και ο Χάρρυ Κλύν και να φευγαν τίποτα σκάγια και ξεφτιλιζόταν η #Κυβερνηση_τσίρκο😂#μητσοτακη_παραιτησου #τροχαιοβουλη #ειδικη_αδεια  https://t.co/fc9GbEcK0L",el,[],[],[],0,2,3,"['νεασμυρνη', 'κυβερνηση_τσίρκο', 'μητσοτακη_παραιτησου', 'τροχαιοβουλη', 'ειδικη_αδεια']",[],https://twitter.com/petechatziplis/status/1371822939029565444,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1371822838529851392/pu/img/9G5nDsoQg8DvU6_R.jpg,,,,,,,[],,,,
1371822034007818247,1371822034007818247,2021-03-16 13:53:54 UTC,2021-03-16,13:53:54,+0000,1370410588673818627,cat77710747,Ολική CATαστροφή🐈‍⬛,,Ναι.Δεν είναι όπλο. Μας κουνάει το μαντιλι! #Νεα_Σμυρνη #ποναω #αστυνομικη_βια #αστυνομοκρατια #μπατσοι_γουρουνια_δολοφονοι #τι_ψηφισατε_ρε_μαλακες #antireport,el,[],[],[],0,0,4,"['νεα_σμυρνη', 'ποναω', 'αστυνομικη_βια', 'αστυνομοκρατια', 'μπατσοι_γουρουνια_δολοφονοι', 'τι_ψηφισατε_ρε_μαλακες', 'antireport']",[],https://twitter.com/CAT77710747/status/1371822034007818247,False,https://twitter.com/c_mandas/status/1371813764459331587,0,,,,,,,,[],,,,
1371821748145033216,1371821748145033216,2021-03-16 13:52:46 UTC,2021-03-16,13:52:46,+0000,1324360379045236736,agkaniou,soy.katerinaa,,Ούτε ένα γάντι δεν μπορούμε να κρατάμε πια............ #Νεα_Σμυρνη,el,[],[],[],0,0,0,['νεα_σμυρνη'],[],https://twitter.com/AGkaniou/status/1371821748145033216,False,,0,,,,,,,,[],,,,
1371821140931452929,1371821140931452929,2021-03-16 13:50:21 UTC,2021-03-16,13:50:21,+0000,1364263451267325952,kostasalexandr5,Kostas Alexandridis,,"Δεν είναι αυτό που νομίζετε και που βλέπετε με τα μάτια σας! 🧐 Όπως γράφει το Βήμα, η ""έρευνα"" της ΕΛΑΣ κατέληξε στο συμπέρασμα ότι ο εικονιζόμενος αστυνομικός στην #Νεα_Σμυρνη δεν έχει προτάξει όπλο, αλλά τα... γάντια του!!!✋ Ντρέπεται και η ντροπή, καραγκιόζηδες! #kolosogo  https://t.co/sCwqqSbnVI",el,[],[],"['https://pbs.twimg.com/media/Ewmv_5RXEAEtv7U.jpg', 'https://pbs.twimg.com/media/EwmwAHXWYAYsry5.jpg']",0,0,1,"['νεα_σμυρνη', 'kolosogo']",[],https://twitter.com/KostasAlexandr5/status/1371821140931452929,False,,1,https://pbs.twimg.com/media/Ewmv_5RXEAEtv7U.jpg,,,,,,,[],,,,
1371819408423796737,1371819408423796737,2021-03-16 13:43:28 UTC,2021-03-16,13:43:28,+0000,1224947381059379201,allaloulala,Allalala,,"""Για ότι μας συμβεί από δω και πέρα την αποκλειστική ευθύνη θα έχει ο Κύριος Μιχάλης της Νέας Δημοκρατίας"" #ΝΔ_Χουντα #ΝΔ_απατεωνες #Νεα_Σμυρνη   https://t.co/ktqVJqXjKI",el,[],['https://www.efsyn.gr/politiki/synenteyxeis/285714_moy-eipan-tha-biasoyme-mehri-kai-koytabi-soy'],[],0,0,0,"['νδ_χουντα', 'νδ_απατεωνες', 'νεα_σμυρνη']",[],https://twitter.com/allaloulala/status/1371819408423796737,False,,0,,,,,,,,[],,,,
